leg_exp,site,samples,core_comp_photo,core_closeup_img,ts_img
198,1208,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=198&site=1208,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=198&site=1208,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=198&site=1208,no data available
198,1209,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=198&site=1209,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=198&site=1209,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=198&site=1209,no data available
198,1210,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=198&site=1210,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=198&site=1210,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=198&site=1210,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=198&site=1210
198,1211,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=198&site=1211,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=198&site=1211,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=198&site=1211,no data available
198,1212,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=198&site=1212,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=198&site=1212,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=198&site=1212,no data available
198,1213,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=198&site=1213,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=198&site=1213,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=198&site=1213,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=198&site=1213
198,1214,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=198&site=1214,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=198&site=1214,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=198&site=1214,no data available
199,1215,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=199&site=1215,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=199&site=1215,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=199&site=1215,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=199&site=1215
199,1216,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=199&site=1216,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=199&site=1216,no data available,no data available
199,1217,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=199&site=1217,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=199&site=1217,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=199&site=1217,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=199&site=1217
199,1218,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=199&site=1218,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=199&site=1218,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=199&site=1218,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=199&site=1218
199,1219,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=199&site=1219,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=199&site=1219,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=199&site=1219,no data available
199,1220,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=199&site=1220,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=199&site=1220,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=199&site=1220,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=199&site=1220
199,1221,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=199&site=1221,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=199&site=1221,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=199&site=1221,no data available
